Date,Departments and Agencies,Tenure,Employees
201003,Indian Oil and Gas Canada,Indeterminate,70
201003,Indian Oil and Gas Canada,Term,7
201003,Indian Residential Schools Truth and Reconciliation Commission,Casual,8
201003,Indian Residential Schools Truth and Reconciliation Commission,Indeterminate,8
201003,Indian Residential Schools Truth and Reconciliation Commission,Term,3
201003,Indigenous and Northern Affairs Canada,Casual,218
201003,Indigenous and Northern Affairs Canada,Indeterminate,4595
201003,Indigenous and Northern Affairs Canada,Student,140
201003,Indigenous and Northern Affairs Canada,Term,418
201003,Infrastructure Canada,Casual,18
201003,Infrastructure Canada,Indeterminate,291
201003,Infrastructure Canada,Student,15
201003,Infrastructure Canada,Term,8
201003,"Innovation, Science and Economic Development Canada",Casual,132
201003,"Innovation, Science and Economic Development Canada",Indeterminate,5266
201003,"Innovation, Science and Economic Development Canada",Student,141
201003,"Innovation, Science and Economic Development Canada",Term,230
201003,International Joint Commission,Casual,1
201003,International Joint Commission,Indeterminate,21
201003,International Joint Commission,Student,2
201003,International Joint Commission,Term,4
201003,Library and Archives Canada,Casual,34
201003,Library and Archives Canada,Indeterminate,1006
201003,Library and Archives Canada,Student,24
201003,Library and Archives Canada,Term,84
201003,Military Grievances External Review Committee,Casual,1
201003,Military Grievances External Review Committee,Indeterminate,34
201003,Military Grievances External Review Committee,Student,1
201003,Military Grievances External Review Committee,Term,1
201003,Military Police Complaints Commission of Canada,Indeterminate,12
201003,Military Police Complaints Commission of Canada,Student,1
201003,Military Police Complaints Commission of Canada,Term,1
201003,NAFTA Secretariat,Indeterminate,7
201003,NAFTA Secretariat,Term,1
201003,National Defence,Casual,669
201003,National Defence,Indeterminate,24492
201003,National Defence,Student,292
201003,National Defence,Term,1838
201003,National Energy Board,Casual,3
201003,National Energy Board,Indeterminate,340
201003,National Energy Board,Student,4
201003,National Energy Board,Term,10
201003,National Film Board,Indeterminate,364
201003,National Film Board,Term,60
201003,National Research Council Canada,Indeterminate,3493
201003,National Research Council Canada,Student,174
201003,National Research Council Canada,Term,835
201003,National Round Table on the Environment and the Economy,Indeterminate,29
201003,Natural Resources Canada,Casual,271
201003,Natural Resources Canada,Indeterminate,4218
201003,Natural Resources Canada,Student,206
201003,Natural Resources Canada,Term,256
201003,Office of the Auditor General of Canada,Casual,3
201003,Office of the Auditor General of Canada,Indeterminate,576
201003,Office of the Auditor General of Canada,Student,11
201003,Office of the Auditor General of Canada,Term,62
201003,Office of the Commissioner for Federal Judicial Affairs Canada,Casual,5
201003,Office of the Commissioner for Federal Judicial Affairs Canada,Indeterminate,65
201003,Office of the Commissioner for Federal Judicial Affairs Canada,Student,1
201003,Office of the Commissioner for Federal Judicial Affairs Canada,Term,2
201003,Office of the Commissioner of Lobbying of Canada,Indeterminate,24
201003,Office of the Commissioner of Lobbying of Canada,Term,2
201003,Office of the Commissioner of Official Languages,Casual,6
201003,Office of the Commissioner of Official Languages,Indeterminate,156
201003,Office of the Commissioner of Official Languages,Student,8
201003,Office of the Commissioner of Official Languages,Term,4
201003,Office of the Governor General's Secretary,Casual,2
201003,Office of the Governor General's Secretary,Indeterminate,146
201003,Office of the Governor General's Secretary,Student,4
201003,Office of the Governor General's Secretary,Term,19
201003,Office of the Public Sector Integrity Commissioner of Canada,Casual,4
201003,Office of the Public Sector Integrity Commissioner of Canada,Indeterminate,17
201003,Office of the Public Sector Integrity Commissioner of Canada,Term,2
201003,Office of the Superintendent of Financial Institutions Canada,Casual,11
201003,Office of the Superintendent of Financial Institutions Canada,Indeterminate,504
201003,Office of the Superintendent of Financial Institutions Canada,Student,6
201003,Office of the Superintendent of Financial Institutions Canada,Term,21
201003,Offices of the information and Privacy Commissioners of Canada,Casual,8
201003,Offices of the information and Privacy Commissioners of Canada,Indeterminate,223
201003,Offices of the information and Privacy Commissioners of Canada,Student,11
201003,Offices of the information and Privacy Commissioners of Canada,Term,11
201003,Parks Canada,Indeterminate,3453
201003,Parks Canada,Student,106
201003,Parks Canada,Term,494
201003,Parole Board of Canada,Casual,11
201003,Parole Board of Canada,Indeterminate,324
201003,Parole Board of Canada,Student,1
201003,Parole Board of Canada,Term,72
201003,Passport Canada,Casual,75
201003,Passport Canada,Indeterminate,1990
201003,Passport Canada,Student,75
201003,Passport Canada,Term,549
201003,Patented Medicine Prices Review Board Canada,Casual,1
201003,Patented Medicine Prices Review Board Canada,Indeterminate,49
201003,Patented Medicine Prices Review Board Canada,Student,2
201003,Patented Medicine Prices Review Board Canada,Term,7
201003,Privy Council Office,Casual,42
201003,Privy Council Office,Indeterminate,794
201003,Privy Council Office,Student,35
201003,Privy Council Office,Term,34
201003,Public Health Agency of Canada,Casual,168
201003,Public Health Agency of Canada,Indeterminate,2255
201003,Public Health Agency of Canada,Student,118
201003,Public Health Agency of Canada,Term,259
201003,Public Prosecution Service of Canada,Casual,14
201003,Public Prosecution Service of Canada,Indeterminate,772
201003,Public Prosecution Service of Canada,Student,4
201003,Public Prosecution Service of Canada,Term,67
201003,Public Safety Canada,Casual,47
201003,Public Safety Canada,Indeterminate,997
201003,Public Safety Canada,Student,43
201003,Public Safety Canada,Term,40
201003,Public Servants Disclosure Protection Tribunal Canada,Casual,1
201003,Public Servants Disclosure Protection Tribunal Canada,Indeterminate,5
201003,Public Service Commission of Canada,Casual,44
201003,Public Service Commission of Canada,Indeterminate,934
201003,Public Service Commission of Canada,Student,33
201003,Public Service Commission of Canada,Term,36
201003,Public Service Labour Relations Board,Casual,4
201003,Public Service Labour Relations Board,Indeterminate,66
201003,Public Service Labour Relations Board,Student,6
201003,Public Service Labour Relations Board,Term,13
201003,Public Service Staffing Tribunal,Casual,1
201003,Public Service Staffing Tribunal,Indeterminate,28
201003,Public Service Staffing Tribunal,Term,8
201003,Public Services and Procurement Canada,Casual,525
201003,Public Services and Procurement Canada,Indeterminate,12492
201003,Public Services and Procurement Canada,Student,333
201003,Public Services and Procurement Canada,Term,389
201003,RCMP External Review Committee,Indeterminate,3
201003,RCMP External Review Committee,Term,2
201003,Registrar of the Supreme Court of Canada,Casual,8
201003,Registrar of the Supreme Court of Canada,Indeterminate,161
201003,Registrar of the Supreme Court of Canada,Student,14
201003,Registrar of the Supreme Court of Canada,Term,37
201003,Registry of the Specific Claims Tribunal of Canada,Casual,1
201003,Registry of the Specific Claims Tribunal of Canada,Indeterminate,4
201003,Registry of the Specific Claims Tribunal of Canada,Student,1
201003,Royal Canadian Mounted Police (Civilian Staff),Casual,129
201003,Royal Canadian Mounted Police (Civilian Staff),Indeterminate,5612
201003,Royal Canadian Mounted Police (Civilian Staff),Student,50
201003,Royal Canadian Mounted Police (Civilian Staff),Term,459
201003,Science and Engineering Research Canada,Indeterminate,331
201003,Science and Engineering Research Canada,Student,11
201003,Science and Engineering Research Canada,Term,60
201003,Security Intelligence Review Committee,Indeterminate,14
201003,Social Sciences and Humanities Research Council of Canada,Indeterminate,174
201003,Social Sciences and Humanities Research Council of Canada,Student,2
201003,Social Sciences and Humanities Research Council of Canada,Term,30
201003,Statistical Survey Operations,Indeterminate,668
201003,Statistical Survey Operations,Term,1177
201003,Statistics Canada,Casual,48
201003,Statistics Canada,Indeterminate,5121
201003,Statistics Canada,Student,124
201003,Statistics Canada,Term,265
201003,Status of Women Canada,Casual,16
201003,Status of Women Canada,Indeterminate,73
201003,Status of Women Canada,Student,1
201003,Status of Women Canada,Term,3
201003,The Correctional Investigator Canada,Casual,1
201003,The Correctional Investigator Canada,Indeterminate,24
201003,The Correctional Investigator Canada,Term,1
201003,Transport Canada,Casual,229
201003,Transport Canada,Indeterminate,4995
201003,Transport Canada,Student,99
201003,Transport Canada,Term,201
201003,Transportation Appeal Tribunal of Canada,Indeterminate,7
201003,Transportation Appeal Tribunal of Canada,Term,1
201003,Transportation Safety Board of Canada,Casual,3
201003,Transportation Safety Board of Canada,Indeterminate,207
201003,Transportation Safety Board of Canada,Term,6
201003,Treasury Board of Canada Secretariat,Casual,84
201003,Treasury Board of Canada Secretariat,Indeterminate,1917
201003,Treasury Board of Canada Secretariat,Student,46
201003,Treasury Board of Canada Secretariat,Term,50
201003,Veterans Affairs Canada,Casual,118
201003,Veterans Affairs Canada,Indeterminate,3680
201003,Veterans Affairs Canada,Student,115
201003,Veterans Affairs Canada,Term,210
201003,Western Economic Diversification Canada,Casual,22
201003,Western Economic Diversification Canada,Indeterminate,395
201003,Western Economic Diversification Canada,Student,44
201003,Western Economic Diversification Canada,Term,49
201006,Agriculture and Agri-Food Canada,Casual,253
201006,Agriculture and Agri-Food Canada,Indeterminate,5881
201006,Agriculture and Agri-Food Canada,Student,1036
201006,Agriculture and Agri-Food Canada,Term,298
201006,Assisted Human Reproduction Canada,Casual,1
201006,Assisted Human Reproduction Canada,Indeterminate,10
201006,Assisted Human Reproduction Canada,Student,1
201006,Assisted Human Reproduction Canada,Term,2
201006,Atlantic Canada Opportunities Agency,Casual,19
201006,Atlantic Canada Opportunities Agency,Indeterminate,671
201006,Atlantic Canada Opportunities Agency,Student,36
201006,Atlantic Canada Opportunities Agency,Term,31
201006,Canada Border Services Agency,Casual,162
201006,Canada Border Services Agency,Indeterminate,13604
201006,Canada Border Services Agency,Student,622
201006,Canada Border Services Agency,Term,224
201006,Canada Industrial Relations Board,Casual,1
201006,Canada Industrial Relations Board,Indeterminate,91
201006,Canada Industrial Relations Board,Term,11
201006,Canada Revenue Agency,Casual,1
201006,Canada Revenue Agency,Indeterminate,33722
201006,Canada Revenue Agency,Student,1079
201006,Canada Revenue Agency,Term,6828
201006,Canada School of Public Service,Casual,69
201006,Canada School of Public Service,Indeterminate,761
201006,Canada School of Public Service,Student,26
201006,Canada School of Public Service,Term,146
201006,Canadian Artists and Producers Professional Relations Tribunal,Indeterminate,7
201006,Canadian Artists and Producers Professional Relations Tribunal,Term,5
201006,Canadian Dairy Commission,Indeterminate,54
201006,Canadian Dairy Commission,Student,4
201006,Canadian Dairy Commission,Term,7
201006,Canadian Environmental Assessment Agency,Indeterminate,119
201006,Canadian Environmental Assessment Agency,Term,15
201006,Canadian Food Inspection Agency,Indeterminate,5732
201006,Canadian Food Inspection Agency,Student,178
201006,Canadian Food Inspection Agency,Term,993
201006,Canadian Grain Commission,Casual,15
201006,Canadian Grain Commission,Indeterminate,589
201006,Canadian Grain Commission,Student,5
201006,Canadian Grain Commission,Term,73
201006,Canadian Heritage,Casual,55
201006,Canadian Heritage,Indeterminate,2030
201006,Canadian Heritage,Student,58
201006,Canadian Heritage,Term,88
201006,Canadian Human Rights Commission,Casual,5
201006,Canadian Human Rights Commission,Indeterminate,175
201006,Canadian Human Rights Commission,Student,8
201006,Canadian Human Rights Commission,Term,13
201006,Canadian Institutes of Health Research,Indeterminate,384
201006,Canadian Institutes of Health Research,Term,60
201006,Canadian Intergovernmental Conference Secretariat,Casual,1
201006,Canadian Intergovernmental Conference Secretariat,Indeterminate,24
201006,Canadian Intergovernmental Conference Secretariat,Term,1
201006,Canadian International Trade Tribunal,Casual,2
201006,Canadian International Trade Tribunal,Indeterminate,74
201006,Canadian International Trade Tribunal,Student,2
201006,Canadian International Trade Tribunal,Term,8
201006,Canadian Nuclear Safety Commission,Indeterminate,811
201006,Canadian Nuclear Safety Commission,Term,66
201006,Canadian Polar Commission,Student,4
201006,Canadian Radio-television and Telecommunications Commission,Casual,9
201006,Canadian Radio-television and Telecommunications Commission,Indeterminate,372
201006,Canadian Radio-television and Telecommunications Commission,Student,6
201006,Canadian Radio-television and Telecommunications Commission,Term,37
201006,Canadian Space Agency,Indeterminate,616
201006,Canadian Space Agency,Student,65
201006,Canadian Space Agency,Term,37
201006,Canadian Transportation Agency,Casual,2
201006,Canadian Transportation Agency,Indeterminate,224
201006,Canadian Transportation Agency,Student,11
201006,Canadian Transportation Agency,Term,16
201006,Civilian Review and Complaints Commission for the RCMP,Casual,2
201006,Civilian Review and Complaints Commission for the RCMP,Indeterminate,34
201006,Civilian Review and Complaints Commission for the RCMP,Student,7
201006,Civilian Review and Complaints Commission for the RCMP,Term,10
201006,Communications Security Establishment,Indeterminate,1669
201006,Communications Security Establishment,Term,94
201006,Competition Bureau Canada,Casual,1
201006,Competition Bureau Canada,Indeterminate,10
201006,Copyright Board Canada,Indeterminate,12
201006,Copyright Board Canada,Term,2
201006,Correctional Service Canada,Casual,373
201006,Correctional Service Canada,Indeterminate,16657
201006,Correctional Service Canada,Student,138
201006,Correctional Service Canada,Term,596
201006,Courts Administration Service,Casual,28
201006,Courts Administration Service,Indeterminate,514
201006,Courts Administration Service,Student,27
201006,Courts Administration Service,Term,65
201006,Department of Finance Canada,Casual,10
201006,Department of Finance Canada,Indeterminate,765
201006,Department of Finance Canada,Student,14
201006,Department of Finance Canada,Term,15
201006,Department of Justice Canada,Casual,140
201006,Department of Justice Canada,Indeterminate,4483
201006,Department of Justice Canada,Student,68
201006,Department of Justice Canada,Term,319
201006,Economic Development Agency of Canada for the Regions of Quebec,Casual,32
201006,Economic Development Agency of Canada for the Regions of Quebec,Indeterminate,352
201006,Economic Development Agency of Canada for the Regions of Quebec,Student,20
201006,Economic Development Agency of Canada for the Regions of Quebec,Term,51
201006,Elections Canada,Casual,23
201006,Elections Canada,Indeterminate,341
201006,Elections Canada,Student,48
201006,Elections Canada,Term,146
201006,Employment and Social Development Canada,Casual,363
201006,Employment and Social Development Canada,Indeterminate,21183
201006,Employment and Social Development Canada,Student,1336
201006,Employment and Social Development Canada,Term,2828
201006,Environment and Climate Change Canada,Casual,246
201006,Environment and Climate Change Canada,Indeterminate,6302
201006,Environment and Climate Change Canada,Student,490
201006,Environment and Climate Change Canada,Term,432
201006,Farm Products Council of Canada,Indeterminate,15
201006,Farm Products Council of Canada,Student,1
201006,Federal Economic Development Agency for Southern Ontario,Casual,12
201006,Federal Economic Development Agency for Southern Ontario,Indeterminate,83
201006,Federal Economic Development Agency for Southern Ontario,Student,3
201006,Federal Economic Development Agency for Southern Ontario,Term,9
201006,Federal Judges not part of any department,Indeterminate,1088
201006,Financial Consumer Agency of Canada,Casual,2
201006,Financial Consumer Agency of Canada,Indeterminate,49
201006,Financial Consumer Agency of Canada,Student,1
201006,Financial Consumer Agency of Canada,Term,5
201006,Financial Transactions and Reports Analysis Centre of Canada,Indeterminate,251
201006,Financial Transactions and Reports Analysis Centre of Canada,Student,23
201006,Financial Transactions and Reports Analysis Centre of Canada,Term,40
201006,Fisheries and Oceans Canada,Casual,438
201006,Fisheries and Oceans Canada,Indeterminate,9594
201006,Fisheries and Oceans Canada,Student,315
201006,Fisheries and Oceans Canada,Term,827
201006,Global Affairs Canada,Casual,312
201006,Global Affairs Canada,Indeterminate,6269
201006,Global Affairs Canada,Student,197
201006,Global Affairs Canada,Term,277
201006,Hazardous Materials Information Review Commission Canada,Casual,1
201006,Hazardous Materials Information Review Commission Canada,Indeterminate,32
201006,Hazardous Materials Information Review Commission Canada,Student,2
201006,Hazardous Materials Information Review Commission Canada,Term,5
201006,Health Canada,Casual,303
201006,Health Canada,Indeterminate,9199
201006,Health Canada,Student,214
201006,Health Canada,Term,571
201006,Human Rights Tribunal of Canada,Indeterminate,19
201006,Human Rights Tribunal of Canada,Term,1
201006,Immigration and Refugee Board of Canada,Casual,41
201006,Immigration and Refugee Board of Canada,Indeterminate,848
201006,Immigration and Refugee Board of Canada,Student,12
201006,Immigration and Refugee Board of Canada,Term,69
201006,"Immigration, Refugees and Citizenship Canada",Casual,115
201006,"Immigration, Refugees and Citizenship Canada",Indeterminate,3954
201006,"Immigration, Refugees and Citizenship Canada",Student,145
201006,"Immigration, Refugees and Citizenship Canada",Term,314
201006,Indian Oil and Gas Canada,Indeterminate,68
201006,Indian Oil and Gas Canada,Term,6
201006,Indian Residential Schools Truth and Reconciliation Commission,Casual,9
201006,Indian Residential Schools Truth and Reconciliation Commission,Indeterminate,12
201006,Indian Residential Schools Truth and Reconciliation Commission,Student,2
201006,Indian Residential Schools Truth and Reconciliation Commission,Term,3
201006,Indigenous and Northern Affairs Canada,Casual,147
201006,Indigenous and Northern Affairs Canada,Indeterminate,4559
201006,Indigenous and Northern Affairs Canada,Student,214
201006,Indigenous and Northern Affairs Canada,Term,389
201006,Infrastructure Canada,Casual,15
201006,Infrastructure Canada,Indeterminate,307
201006,Infrastructure Canada,Student,13
201006,Infrastructure Canada,Term,8
201006,"Innovation, Science and Economic Development Canada",Casual,108
201006,"Innovation, Science and Economic Development Canada",Indeterminate,5201
201006,"Innovation, Science and Economic Development Canada",Student,201
201006,"Innovation, Science and Economic Development Canada",Term,225
201006,International Joint Commission,Casual,1
201006,International Joint Commission,Indeterminate,20
201006,International Joint Commission,Student,5
201006,International Joint Commission,Term,5
201006,Library and Archives Canada,Casual,17
201006,Library and Archives Canada,Indeterminate,1005
201006,Library and Archives Canada,Student,26
201006,Library and Archives Canada,Term,79
201006,Military Grievances External Review Committee,Casual,2
201006,Military Grievances External Review Committee,Indeterminate,37
201006,Military Grievances External Review Committee,Student,1
201006,Military Grievances External Review Committee,Term,1
201006,Military Police Complaints Commission of Canada,Casual,1
201006,Military Police Complaints Commission of Canada,Indeterminate,10
201006,NAFTA Secretariat,Indeterminate,7
201006,National Defence,Casual,468
201006,National Defence,Indeterminate,24403
201006,National Defence,Student,477
201006,National Defence,Term,1707
201006,National Energy Board,Casual,5
201006,National Energy Board,Indeterminate,345
201006,National Energy Board,Student,10
201006,National Energy Board,Term,11
201006,National Film Board,Indeterminate,354
201006,National Film Board,Term,57
201006,National Research Council Canada,Indeterminate,3464
201006,National Research Council Canada,Student,216
201006,National Research Council Canada,Term,818
201006,National Round Table on the Environment and the Economy,Indeterminate,31
201006,National Round Table on the Environment and the Economy,Student,3
201006,Natural Resources Canada,Casual,154
201006,Natural Resources Canada,Indeterminate,4237
201006,Natural Resources Canada,Student,309
201006,Natural Resources Canada,Term,235
201006,Northern Pipeline Agency,Casual,1
201006,Office of the Auditor General of Canada,Indeterminate,579
201006,Office of the Auditor General of Canada,Student,42
201006,Office of the Auditor General of Canada,Term,68
201006,Office of the Commissioner for Federal Judicial Affairs Canada,Casual,4
201006,Office of the Commissioner for Federal Judicial Affairs Canada,Indeterminate,64
201006,Office of the Commissioner for Federal Judicial Affairs Canada,Student,2
201006,Office of the Commissioner for Federal Judicial Affairs Canada,Term,3
201006,Office of the Commissioner of Lobbying of Canada,Indeterminate,23
201006,Office of the Commissioner of Lobbying of Canada,Term,1
201006,Office of the Commissioner of Official Languages,Casual,8
201006,Office of the Commissioner of Official Languages,Indeterminate,154
201006,Office of the Commissioner of Official Languages,Student,6
201006,Office of the Commissioner of Official Languages,Term,3
201006,Office of the Governor General's Secretary,Indeterminate,146
201006,Office of the Governor General's Secretary,Student,39
201006,Office of the Governor General's Secretary,Term,24
201006,Office of the Public Sector Integrity Commissioner of Canada,Casual,4
201006,Office of the Public Sector Integrity Commissioner of Canada,Indeterminate,20
201006,Office of the Public Sector Integrity Commissioner of Canada,Student,1
201006,Office of the Public Sector Integrity Commissioner of Canada,Term,2
201006,Office of the Superintendent of Financial Institutions Canada,Casual,5
201006,Office of the Superintendent of Financial Institutions Canada,Indeterminate,519
201006,Office of the Superintendent of Financial Institutions Canada,Student,7
201006,Office of the Superintendent of Financial Institutions Canada,Term,23
201006,Offices of the information and Privacy Commissioners of Canada,Casual,10
201006,Offices of the information and Privacy Commissioners of Canada,Indeterminate,220
201006,Offices of the information and Privacy Commissioners of Canada,Student,8
201006,Offices of the information and Privacy Commissioners of Canada,Term,10
201006,Parks Canada,Indeterminate,4454
201006,Parks Canada,Student,805
201006,Parks Canada,Term,991
201006,Parole Board of Canada,Casual,15
201006,Parole Board of Canada,Indeterminate,310
201006,Parole Board of Canada,Student,2
201006,Parole Board of Canada,Term,70
201006,Passport Canada,Casual,35
201006,Passport Canada,Indeterminate,1975
201006,Passport Canada,Student,59
201006,Passport Canada,Term,493
201006,Patented Medicine Prices Review Board Canada,Casual,3
201006,Patented Medicine Prices Review Board Canada,Indeterminate,49
201006,Patented Medicine Prices Review Board Canada,Student,4
201006,Patented Medicine Prices Review Board Canada,Term,5
201006,Privy Council Office,Casual,43
201006,Privy Council Office,Indeterminate,818
201006,Privy Council Office,Student,36
201006,Privy Council Office,Term,27
201006,Public Health Agency of Canada,Casual,126
201006,Public Health Agency of Canada,Indeterminate,2244
201006,Public Health Agency of Canada,Student,162
201006,Public Health Agency of Canada,Term,252
201006,Public Prosecution Service of Canada,Casual,21
201006,Public Prosecution Service of Canada,Indeterminate,779
201006,Public Prosecution Service of Canada,Student,3
201006,Public Prosecution Service of Canada,Term,61
201006,Public Safety Canada,Casual,36
201006,Public Safety Canada,Indeterminate,992
201006,Public Safety Canada,Student,48
201006,Public Safety Canada,Term,36
201006,Public Servants Disclosure Protection Tribunal Canada,Indeterminate,4
201006,Public Service Commission of Canada,Casual,39
201006,Public Service Commission of Canada,Indeterminate,927
201006,Public Service Commission of Canada,Student,30
201006,Public Service Commission of Canada,Term,30
201006,Public Service Labour Relations Board,Casual,4
201006,Public Service Labour Relations Board,Indeterminate,74
201006,Public Service Labour Relations Board,Student,2
201006,Public Service Labour Relations Board,Term,10
