"Department","Program","FTE 2011-12","FTE 2012-13","FTE 2013-14","FTE 2014-15","FTE 2015-16"
"Canadian Northern Economic Development Agency","Policy, Advocacy and Coordination",12.00,15.0,22.00,".","."
"Canadian Northern Economic Development Agency","Internal Services",34.00,27.0,25.00,28.00,28.00
"Canadian Nuclear Safety Commission","Compliance Program",262.00,291.0,263.00,263.00,"."
"Canadian Nuclear Safety Commission","Licensing and Certification Program",194.00,164.0,178.00,157.00,"."
"Canadian Nuclear Safety Commission","Nuclear Fuel Cycle",".",".",".",".",64.00
"Canadian Nuclear Safety Commission","Nuclear Non-proliferation",".",".",".",".",38.00
"Canadian Nuclear Safety Commission","Nuclear Reactors",".",".",".",".",257.00
"Canadian Nuclear Safety Commission","Nuclear Substances and Prescribed Equipment",".",".",".",".",83.00
"Canadian Nuclear Safety Commission","Regulatory Framework Program",126.00,172.0,144.00,146.00,"."
"Canadian Nuclear Safety Commission","Scientific, Technical, Regulatory and Public Information",".",".",".",".",145.00
"Canadian Nuclear Safety Commission","Internal Services",252.00,208.0,231.00,222.00,221.00
"Canadian Radio-television and Telecommunications Commission","Canadian Broadcasting",148.00,142.0,".",".","."
"Canadian Radio-television and Telecommunications Commission","Canadian Content Creation",".",".",145.00,115.00,118.00
"Canadian Radio-television and Telecommunications Commission","Canadian Telecommunications",142.00,145.0,".",".","."
"Canadian Radio-television and Telecommunications Commission","Connection to the Communication System",".",".",164.00,135.00,139.00
"Canadian Radio-television and Telecommunications Commission","Protection within the communication system",".",".",".",76.00,80.00
"Canadian Radio-television and Telecommunications Commission","Internal Services",144.00,145.0,125.00,119.00,113.00
"Canadian Space Agency","Future Canadian Space Capacity",119.20,108.4,94.90,89.50,87.20
"Canadian Space Agency","Space Data, Information and Services",98.30,95.4,104.00,103.80,102.60
"Canadian Space Agency","Space Exploration",190.50,176.8,171.90,164.40,154.80
"Canadian Space Agency","Internal Services",291.70,262.8,249.90,235.20,246.80
"Canadian Transportation Accident Investigation and Safety Board","Aviation Occurrence Investigations",94.00,91.0,90.00,87.00,90.00
"Canadian Transportation Accident Investigation and Safety Board","Marine Occurrence Investigations",37.00,39.0,34.00,36.00,35.00
"Canadian Transportation Accident Investigation and Safety Board","Pipeline Occurrence Investigations",3.00,4.0,2.00,2.00,2.00
"Canadian Transportation Accident Investigation and Safety Board","Rail Occurrence Investigations",34.00,35.0,38.00,39.00,37.00
"Canadian Transportation Accident Investigation and Safety Board","Internal Services",51.00,49.0,43.00,44.00,45.00
"Canadian Transportation Agency","Adjudication and Alternative Dispute Resolution",67.00,67.0,67.00,71.00,74.00
"Canadian Transportation Agency","Economic Regulation",110.00,108.0,94.00,93.00,91.00
"Canadian Transportation Agency","Internal Services",65.00,65.0,59.00,57.00,64.00
"Citizenship and Immigration","Canadian Influence in International Migration and Integration Agenda",11.00,12.0,23.00,29.00,33.00
"Citizenship and Immigration","Citizenship for Newcomers and All Canadians",566.00,562.0,722.00,1029.00,1000.00
"Citizenship and Immigration","Family and Discretionary Immigration",450.00,496.0,467.00,438.00,415.00
"Citizenship and Immigration","Health Protection",94.00,91.0,69.00,53.00,70.00
"Citizenship and Immigration","Migration Control and Security Management",596.00,609.0,728.00,819.00,887.00
"Citizenship and Immigration","Multiculturalism for Newcomers and all Canadians",53.00,34.0,29.00,28.00,23.00
"Citizenship and Immigration","Newcomer Settlement and Integration",345.00,302.0,278.00,315.00,319.00
"Citizenship and Immigration","Passport",".",".",".",585.00,674.00
"Citizenship and Immigration","Passport Canada Special Operating Agency (Revolving Fund)",".",".",549.00,".","."
"Citizenship and Immigration","Permanent Economic Residents",304.00,303.0,384.00,507.00,491.00
"Citizenship and Immigration","Refugee Protection",365.00,361.0,308.00,339.00,475.00
"Citizenship and Immigration","Temporary Economic Residents",262.00,239.0,297.00,339.00,376.00
"Citizenship and Immigration","Internal Services",1799.00,1648.0,1629.00,1530.00,1428.00
"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Civilian Review of Royal Canadian Mounted Police members' conduct in the performance of their duties",8.00,31.0,33.00,41.00,45.00
"Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Internal Services",0.00,28.0,22.00,18.00,22.00
"Copyright Board","Copyright Tariff Setting and Issuance of Licences",11.00,11.0,14.00,14.00,16.00
"Copyright Board","Internal Services",3.00,3.0,2.00,2.00,2.00
"Correctional Service of Canada","Community Supervision",211.00,203.0,209.00,192.00,220.00
"Correctional Service of Canada","Correctional Interventions",4597.00,4573.0,4614.00,4388.00,4030.00
"Correctional Service of Canada","Custody",10823.00,11000.0,10896.00,10791.00,10603.00
"Correctional Service of Canada","Internal Services",3173.00,3033.0,2911.00,2787.00,2613.00
"Courts Administration Service","Judicial Services",186.00,183.0,181.00,181.00,185.00
"Courts Administration Service","Registry Services",295.00,281.0,276.00,277.00,280.00
"Courts Administration Service","Internal Services",144.00,148.0,138.00,138.00,155.00
"Economic Development Agency of Canada for the Regions of Quebec","Business Development",".",128.0,130.00,121.00,134.00
"Economic Development Agency of Canada for the Regions of Quebec","Community Development",89.00,".",".",".","."
"Economic Development Agency of Canada for the Regions of Quebec","Competitive positioning of sectors and regions",17.00,".",".",".","."
"Economic Development Agency of Canada for the Regions of Quebec","Enterprise Competitiveness",82.00,".",".",".","."
"Economic Development Agency of Canada for the Regions of Quebec","Infrastructure",8.00,".",".",".","."
"Economic Development Agency of Canada for the Regions of Quebec","Policies, programs and initiatives",47.00,".",".",".","."
"Economic Development Agency of Canada for the Regions of Quebec","Regional Economic Development",".",12.0,12.00,20.00,16.00
"Economic Development Agency of Canada for the Regions of Quebec","Strengthening Community Economies",".",51.0,52.00,47.00,37.00
"Economic Development Agency of Canada for the Regions of Quebec","Internal Services",163.00,141.0,138.00,127.00,128.00
"Employment and Social Development","Citizen-Centred Service",5020.00,3087.0,4303.00,4293.00,"."
"Employment and Social Development","Delivery of Services for Other Government of Canada Programs",".",".",".",".",1977.00
"Employment and Social Development","Income Security",347.00,321.0,173.00,211.00,4381.00
"Employment and Social Development","Integrity and Processing",8271.00,9073.0,9057.00,9219.00,"."
"Employment and Social Development","Labour",706.00,644.0,586.00,586.00,645.00
"Employment and Social Development","Learning",408.00,361.0,331.00,342.00,323.00
"Employment and Social Development","Service Network Supporting Departments",".",".",".",".",399.00
"Employment and Social Development","Skills and Employment",2019.00,1792.0,1542.00,1567.00,9053.00
"Employment and Social Development","Social Development",537.00,466.0,389.00,356.00,289.00
"Employment and Social Development","Internal Services",5524.00,4475.0,3832.00,3885.00,3943.00
"Environment","Biodiversity Wildlife and Habitat",492.00,531.0,562.00,600.00,600.00
"Environment","Climate Change and Clean Air",629.00,661.0,681.00,705.00,670.00
"Environment","Compliance Promotion and Enforcement Pollution",357.00,346.0,352.00,363.00,336.00
"Environment","Compliance Promotion and Enforcement Wildlife",126.00,133.0,140.00,133.00,131.00
"Environment","Substances and Waste Management",547.00,578.0,586.00,618.00,632.00
"Environment","Sustainable Ecosystems",292.00,329.0,324.00,359.00,371.00
"Environment","Water Resources",725.00,783.0,748.00,701.00,694.00
"Environment","Weather and Environmental Services for Canadians",999.00,1014.0,1038.00,1086.00,1108.00
"Environment","Weather and Environmental Services for Targeted Users",440.00,416.0,393.00,409.00,351.00
"Environment","Internal Services",1602.00,1494.0,1483.00,1487.00,1429.00
"Federal Economic Development Agency for Southern Ontario","Business Development",75.00,24.8,33.00,58.00,56.00
"Federal Economic Development Agency for Southern Ontario","Community Economic Development",31.00,38.2,43.00,35.00,36.00
"Federal Economic Development Agency for Southern Ontario","Policy, Advocacy and Coordination",23.00,".",".",".","."
"Federal Economic Development Agency for Southern Ontario","Technological Innovation",".",42.7,23.00,16.00,21.00
"Federal Economic Development Agency for Southern Ontario","Internal Services",92.00,119.8,133.00,115.00,124.00
"Finance","Economic and Fiscal Policy Framework",504.00,485.0,467.00,453.00,437.00
"Finance","Transfer and Taxation Payment Programs",0.00,0.0,0.00,0.00,10.00
"Finance","Treasury and Financial Affairs",25.00,24.0,28.00,26.00,29.00
"Finance","Internal Services",273.00,270.0,286.00,286.00,271.00
"Financial Consumer Agency of Canada","Financial Consumer Agency of Canada",".",75.1,78.10,24.90,"."
"Financial Transactions and Reports Analysis Centre of Canada","Compliance Program",".",158.0,145.00,144.00,150.00
"Financial Transactions and Reports Analysis Centre of Canada","Detection and deterrence of money laundering and terrorist financing",287.00,".",".",".","."
"Financial Transactions and Reports Analysis Centre of Canada","Financial Intelligence Program",".",148.0,145.00,140.00,136.00
"Financial Transactions and Reports Analysis Centre of Canada","Internal Services",54.00,53.0,53.00,53.00,53.00
"Fisheries and Oceans","Aboriginal Inland Habitat Program",2.00,".",".",".","."
"Fisheries and Oceans","Aboriginal Strategies and Governance",131.00,129.0,117.00,105.30,107.10
"Fisheries and Oceans","Aids to Navigation",193.00,".",".",".","."
"Fisheries and Oceans","Aquatic Animal Health",53.00,53.0,50.00,47.50,48.20
"Fisheries and Oceans","Aquatic Invasive Species",71.00,75.0,77.00,".","."
"Fisheries and Oceans","Biotechnology and Genomics",21.00,22.0,21.00,18.10,26.30
"Fisheries and Oceans","Canadian Coast Guard College",269.00,265.0,254.00,243.90,243.80
"Fisheries and Oceans","Climate Change Adaptation Program",".",".",15.00,15.30,12.90
"Fisheries and Oceans","Compliance and Enforcement",696.00,676.0,699.00,680.30,662.90
"Fisheries and Oceans","Environmental Response Services",82.00,79.0,79.00,74.70,83.50
"Fisheries and Oceans","Fisheries Protection",".",468.0,339.00,365.50,388.10
"Fisheries and Oceans","Fisheries Strategies and Governance",243.00,238.0,".",".","."
"Fisheries and Oceans","Fleet Operational Readiness",2809.00,2743.0,2712.00,2788.80,2740.20
"Fisheries and Oceans","Hydrographic Products and Services",242.00,253.0,240.00,228.10,233.30
"Fisheries and Oceans","Icebreaking Services",14.00,".",".",".","."
"Fisheries and Oceans","Integrated Fisheries Management",861.00,818.0,982.00,984.30,956.70
"Fisheries and Oceans","International Engagement",64.00,63.0,56.00,45.10,52.70
"Fisheries and Oceans","Marine Communications and Traffic Services",436.00,434.0,384.00,362.00,330.10
"Fisheries and Oceans","Marine Navigation",36.00,241.0,220.00,222.00,220.60
"Fisheries and Oceans","Maritime Security",48.00,43.0,44.00,48.10,45.50
"Fisheries and Oceans","Ocean Forecasting",108.00,133.0,113.00,102.00,97.70
"Fisheries and Oceans","Oceans Management",286.00,263.0,262.00,276.20,305.10
"Fisheries and Oceans","Salmonid Enhancement Program",211.00,208.0,204.00,203.70,201.50
"Fisheries and Oceans","Search and Rescue Services",127.00,148.0,129.00,127.70,123.20
"Fisheries and Oceans","Shore-Based Asset Readiness",816.00,819.0,808.00,744.30,742.60
"Fisheries and Oceans","Small Craft Harbours",167.00,165.0,164.00,161.80,173.40
"Fisheries and Oceans","Species at Risk",164.00,151.0,158.00,147.50,134.30
"Fisheries and Oceans","Sustainable Aquaculture Program",218.00,226.0,185.00,222.30,188.80
"Fisheries and Oceans","Territorial Delineation",13.00,12.0,14.00,7.40,8.00
"Fisheries and Oceans","Internal Services",1840.00,1826.0,1742.00,1652.60,1685.50
"Foreign Affairs, Trade and Development","Canadian Engagement",".",".",113.00,".","."
"Foreign Affairs, Trade and Development","Consular Services and Emergency Management",540.00,446.0,354.00,433.00,371.00
"Foreign Affairs, Trade and Development","Diplomacy, Advocacy, and International Agreements",1876.00,1866.0,1620.00,1548.00,1644.00
"Foreign Affairs, Trade and Development","Fragile Countries and crisis-affected communities",".",".",103.00,".","."
"Foreign Affairs, Trade and Development","Global engagement and strategic policy",".",".",194.00,".","."
"Foreign Affairs, Trade and Development","Integrated Foreign Affairs, Trade, and Development Policy",858.00,626.0,860.00,854.00,816.00
"Foreign Affairs, Trade and Development","International Commerce",1399.00,1285.0,1291.00,1241.00,1311.00
"Foreign Affairs, Trade and Development","International Development",".",".",".",".",696.00
"Foreign Affairs, Trade and Development","International Humanitarian Assistance",".",".",".",".",40.00
"Foreign Affairs, Trade and Development","International Security and Democratic Development",".",".",".",".",137.00
"Foreign Affairs, Trade and Development","Low-income countries",".",".",286.00,".","."
"Foreign Affairs, Trade and Development","Management of Government of Canada Terms and Conditions of Employment Abroad",44.00,53.0,54.00,54.00,53.00
"Foreign Affairs, Trade and Development","Middle-income countries",".",".",141.00,".","."
"Foreign Affairs, Trade and Development","Mission Network Governance, Strategic Direction and Common Services",4496.00,4335.0,4083.00,4049.00,4287.00
"Foreign Affairs, Trade and Development","Passport Canada Special Operating Agency (Revolving Fund)",2431.00,2488.0,".",".","."
"Foreign Affairs, Trade and Development","Internal Services",1409.00,1284.0,1984.00,1797.00,1533.00
"Hazardous Materials Information Review Commission","Stakeholder Engagement and Strategic Partnerships",5.00,".",".",".","."
"Hazardous Materials Information Review Commission","Statutory Decisions and Compliant Information",22.00,".",".",".","."
"Hazardous Materials Information Review Commission","Internal Services",13.00,".",".",".","."
"Health","Canadian Health System Policy",188.00,155.0,126.00,182.00,175.00
"Health","Consumer Product and Workplace Chemical Safety",".",".",282.00,295.00,290.00
"Health","Consumer Products Safety",212.00,239.0,".",".","."
"Health","Environmental Risks to Health",761.00,687.0,639.00,588.00,561.00
"Health","First Nations and Inuit Primary Health Care",1385.00,1593.0,1441.00,1361.00,1337.00
"Health","Food Safety and Nutrition",538.00,515.0,513.00,502.00,500.00
"Health","Health Infrastructure Support for First Nations and Inuit",651.00,227.0,262.00,190.00,188.00
"Health","Health Products",1896.00,1899.0,1867.00,1764.00,1763.00
"Health","Official Language Minority Community Development",9.00,7.0,7.00,8.00,7.00
"Health","Pesticides",474.00,430.0,407.00,416.00,428.00
"Health","Radiation Protection",152.00,163.0,186.00,195.00,192.00
"Health","Specialized Health Services",225.00,211.0,185.00,181.00,179.00
"Health","Substance Use and Abuse",417.00,431.0,431.00,409.00,476.00
"Health","Supplementary Health Benefits for First Nations and Inuit",408.00,506.0,492.00,449.00,473.00
"Health","Internal Services",2636.00,2462.0,2322.00,2216.00,2171.00
"Immigration and Refugee Board","Admissibility Hearings and Detention Reviews",78.00,79.0,89.00,79.00,86.00
"Immigration and Refugee Board","Immigration Appeal",124.00,113.0,109.00,115.00,120.00
"Immigration and Refugee Board","Refugee Appeal",14.00,22.0,62.00,69.00,84.00
"Immigration and Refugee Board","Refugee Protection",602.00,573.0,512.00,485.00,402.00
"Immigration and Refugee Board","Internal Services",274.00,258.0,225.00,222.00,242.00
"Indian Affairs and Northern Development","Aboriginal Economic Development",459.10,439.1,400.90,".","."
"Indian Affairs and Northern Development","Aboriginal Entrepreneurship",".",".",".",42.20,34.00
"Indian Affairs and Northern Development","Aboriginal Rights and Interests",".",".",".",361.70,364.00
"Indian Affairs and Northern Development","Co-operative Relationships",391.80,368.9,338.60,".","."
"Indian Affairs and Northern Development","Community Economic Development",".",".",".",401.00,434.00
"Indian Affairs and Northern Development","Education",276.60,276.7,267.80,271.90,272.00
"Indian Affairs and Northern Development","Federal Administration of Reserve Land",156.20,138.0,123.40,".","."
"Indian Affairs and Northern Development","First Nations Individual Affairs",296.30,259.7,256.60,233.50,238.00
"Indian Affairs and Northern Development","Governance and Institutions of Government",490.00,462.3,441.60,429.30,407.00
"Indian Affairs and Northern Development","Infrastructure and Capacity",263.30,248.5,239.80,251.40,244.00
"Indian Affairs and Northern Development","Management and Implementation of Agreements and Treaties",".",".",".",80.10,80.00
"Indian Affairs and Northern Development","Métis Rights Management",8.80,7.3,".",".","."
"Indian Affairs and Northern Development","Métis and non-status Indian Organizational Capacity Development",21.60,13.9,".",".","."
"Indian Affairs and Northern Development","Northern Governance and People",67.10,69.3,67.60,70.30,65.00
"Indian Affairs and Northern Development","Northern Land, Resources and Environmental Management",395.30,354.6,345.80,235.60,226.00
"Indian Affairs and Northern Development","Northern Science and Technology",38.90,43.3,40.70,52.40,42.00
"Indian Affairs and Northern Development","Residential Schools Resolution",472.60,504.8,521.00,520.60,458.00
"Indian Affairs and Northern Development","Social Development",125.00,130.1,137.20,144.10,144.00
"Indian Affairs and Northern Development","Strategic Partnerships",".",".",".",79.70,72.00
"Indian Affairs and Northern Development","Treaty Management",88.00,76.4,66.90,".","."
"Indian Affairs and Northern Development","Urban Aboriginal Participation",".",".",36.80,18.20,13.00
"Indian Affairs and Northern Development","Urban Aboriginal Strategy",37.60,42.8,".",".","."
"Indian Affairs and Northern Development","Internal Services",1704.10,1561.6,1416.40,1456.80,1431.00
"Industry","Community Economic Development",154.00,117.0,104.00,117.00,120.00
"Industry","Competition Law Enforcement",400.00,370.0,361.00,".","."
"Industry","Consumer Affairs",22.00,20.0,21.00,".","."
"Industry","Industrial Competitiveness and Capacity",277.00,244.0,215.00,222.00,235.00
"Industry","Industrial Research and Development Financing",89.00,79.0,74.00,72.00,73.00
"Industry","Information and Communication Technologies Research and Innovation",370.00,301.0,227.00,".","."
"Industry","Marketplace Competition and Investments",".",".",".",384.00,379.00
"Industry","Marketplace Frameworks and Regulation",1686.00,1685.0,1713.00,1699.00,1730.00
"Industry","Science, Technology and Innovation Capacity",100.00,77.0,75.00,70.00,68.00
"Industry","Small Business Research, Financing and Services",114.00,116.0,109.00,103.00,99.00
"Industry","Spectrum, Telecommunications and the Digital Economy",672.00,357.0,637.00,800.00,806.00
"Industry","Internal Services",1411.00,1173.0,1152.00,1201.00,1203.00
"Justice","Legal Services to Government Program",3439.00,3334.0,3144.00,3079.00,3023.00
"Justice","Office of the Federal Ombudsman for Victims of Crime",10.00,9.0,9.00,9.00,9.00
"Justice","Stewardship of the Canadian Legal Framework",357.00,316.0,276.00,253.00,255.00
"Justice","Internal Services",1226.00,1119.0,1080.00,1058.00,1050.00
"Library and Archives of Canada","Access to documentary heritage",376.00,298.0,329.00,360.00,311.00
"Library and Archives of Canada","Collaboration in the management of government records",146.00,139.0,85.00,77.00,59.00
"Library and Archives of Canada","Development of regulatory instruments and recordkeeping tools",37.00,33.0,26.00,36.00,28.00
"Library and Archives of Canada","Documentation of Canadian society",134.00,103.0,125.00,125.00,143.00
"Library and Archives of Canada","Stewardship of documentary heritage",165.00,157.0,150.00,172.00,148.00
"Library and Archives of Canada","Internal Services",254.00,231.0,170.00,181.00,224.00
"Military Grievances External Review Committee","Independent Review of Military",26.50,27.0,25.80,25.96,29.30
"Military Grievances External Review Committee","Internal Services",11.50,11.0,13.20,14.00,14.00
"Military Police Complaints Commission","Complaints Resolution",8.00,10.0,7.00,11.00,10.00
"Military Police Complaints Commission","Internal Services",9.00,11.0,8.00,15.00,15.00
"National Defence","Aerospace Readiness",10520.00,10056.0,10613.00,".","."
"National Defence","Canadian Identity",646.00,618.0,680.00,".","."
"National Defence","Canadian Peace, Stability and Security",890.00,946.0,1053.00,".","."
"National Defence","Continental Peace, Stability and Security",646.00,673.0,860.00,".","."
